trail_name,final_area,latitude,longitude,mean_elevation_feet,latitude_grid,longitude_grid,elevation_band,weather_group_key,weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet,elevation_difference_from_group_feet
Rogue Rider Trail,Park City / PCMR,40.60699361060532,-111.56187339427328,9423.9,1624,-3719,18,1624_-3719_18,WG020,40.61411427707917,-111.55642236610704,9308.525,4,9179.4,9423.9,115.375
Shadow Lake,Park City / PCMR,40.61596037279941,-111.55009628848111,9179.4,1624,-3719,18,1624_-3719_18,WG020,40.61411427707917,-111.55642236610704,9308.525,4,9179.4,9423.9,129.125
Wasatch Crest Connect,Park City / PCMR,40.616974136223725,-111.55736099806312,9245.9,1624,-3719,18,1624_-3719_18,WG020,40.61411427707917,-111.55642236610704,9308.525,4,9179.4,9423.9,62.625
Dead Tree,Park City / PCMR,40.611358588022426,-111.54588982448988,9653.6,1624,-3719,19,1624_-3719_19,WG021,40.61124195456744,-111.5513721327718,9727.866666666667,3,9653.6,9871.3,74.26666666666642
Jupiter Peak,Park City / PCMR,40.610319419324455,-111.54904593331813,9871.3,1624,-3719,19,1624_-3719_19,WG021,40.61124195456744,-111.5513721327718,9727.866666666667,3,9653.6,9871.3,143.43333333333248
Scott's Bypass,Park City / PCMR,40.612047856355446,-111.55918064050742,9658.7,1624,-3719,19,1624_-3719_19,WG021,40.61124195456744,-111.5513721327718,9727.866666666667,3,9653.6,9871.3,69.16666666666606
East Fallen Pines Lane,Park City / PCMR,40.61551642366452,-111.57912837068116,8712.4,1624,-3720,17,1624_-3720_17,WG022,40.61320795505473,-111.57880643059633,8739.099999999999,2,8712.4,8765.8,26.69999999999891
Forest Glen Trail,Park City / PCMR,40.61089948644494,-111.5784844905115,8765.8,1624,-3720,17,1624_-3720_17,WG022,40.61320795505473,-111.57880643059633,8739.099999999999,2,8712.4,8765.8,26.700000000000728
Old Stage Crest Connect,Park City / PCMR,40.61247305094488,-111.5715274805363,9057.3,1624,-3720,18,1624_-3720_18,WG023,40.61247305094488,-111.5715274805363,9057.3,1,9057.3,9057.3,0.0
Jordanelle Perimeter Trail,Jordanelle,40.633349610731685,-111.4121970547725,6216.7,1625,-3714,12,1625_-3714_12,WG024,40.63862398769229,-111.41096225934186,6236.049999999999,2,6216.7,6255.4,19.349999999999454
Keetley,Jordanelle,40.6438983646529,-111.4097274639112,6255.4,1625,-3714,12,1625_-3714_12,WG024,40.63862398769229,-111.41096225934186,6236.049999999999,2,6216.7,6255.4,19.350000000000364
Tideline,Jordanelle,40.64171272429878,-111.40053564270964,6530.0,1625,-3714,13,1625_-3714_13,WG025,40.64171272429878,-111.40053564270964,6530.0,1,6530.0,6530.0,0.0
Constellation Trail,Jordanelle,40.6428753631073,-111.43505033038012,6261.6,1625,-3715,12,1625_-3715_12,WG026,40.63538712442058,-111.43401393310636,6285.233333333334,3,6210.9,6383.2,23.633333333333212
Deep Park Circle,Jordanelle,40.626894083286025,-111.43587347972714,6383.2,1625,-3715,12,1625_-3715_12,WG026,40.63538712442058,-111.43401393310636,6285.233333333334,3,6210.9,6383.2,97.96666666666624
Jordanelle (West Bank) Trail,Jordanelle,40.63639192686843,-111.4311179892118,6210.9,1625,-3715,12,1625_-3715_12,WG026,40.63538712442058,-111.43401393310636,6285.233333333334,3,6210.9,6383.2,74.33333333333394
Kaboom Trail / Call Sign Casa Trail,Jordanelle,40.62794719612903,-111.45468580169128,6888.6,1625,-3716,13,1625_-3716_13,WG027,40.63189324838743,-111.45401786787947,6785.2,3,6692.5,6888.6,103.40000000000055
We'll Go From There,Jordanelle,40.633559740125165,-111.4528915193202,6692.5,1625,-3716,13,1625_-3716_13,WG027,40.63189324838743,-111.45401786787947,6785.2,3,6692.5,6888.6,92.69999999999982
You Get It,Jordanelle,40.63417280890808,-111.45447628262694,6774.5,1625,-3716,13,1625_-3716_13,WG027,40.63189324838743,-111.45401786787947,6785.2,3,6692.5,6888.6,10.699999999999818
