distance_meters,distance_miles,elevation_meters,elevation_feet
4600.0,2.858307484291736,2135.494384765625,7006.215397314453
4620.0,2.870734908136483,2134.885986328125,7004.219339384766
4640.0,2.8831623319812296,2135.563232421875,7006.441275458984
4660.0,2.895589755825976,2128.9375,6984.7033075
4680.0,2.908017179670723,2128.762939453125,6984.130602275391
4700.0,2.9204446035154694,2123.189697265625,6965.845686376953
4720.0,2.9328720273602165,2123.26220703125,6966.083579316406
4740.0,2.945299451204963,2122.267822265625,6962.821162001953
4760.0,2.9577268750497097,2120.3232421875,6956.441305898437
4780.0,2.9701542988944563,2120.51171875,6957.05966734375
4800.0,2.982581722739203,2118.532470703125,6950.566071181641
4820.0,2.9950091465839495,2121.312744140625,6959.687703486328
4821.738050626141,2.9960891211736835,2117.666748046875,6947.7257736621095
